time,RF_GRF_x,RF_GRF_y,RF_GRF_z,RF_ThC1_theta,RF_ThC1_vel,RF_ThC3_theta,RF_ThC3_vel,RF_CTr_theta,RF_CTr_vel,RF_TrF_theta,RF_TrF_vel,RF_FTi_theta,RF_FTi_vel
0.064,0.0,0.0,0.0,-0.2692671289809185,1.0613550582108944,0.5656317320642054,-0.4784459899296323,0.8746102621888389,-2.2757135201623147,0.2266834597408034,1.2518346754049892,0.050402160886087774,3.739220872025769
0.066,0.0,0.0,0.0,-0.2671539604804877,1.0565842502154033,0.564659452794669,-0.486139634768179,0.8701583139939637,-2.2259740974375775,0.2291983333456222,1.2574368024094034,0.05773325481278893,3.6655469633505784
0.068,0.0,0.0,0.0,-0.2650459964978702,1.053981991308739,0.5636787804580358,-0.4903361683166185,0.8657606269875154,-2.198843503224135,0.2317193183617186,1.2604925080482026,0.06498397720275369,3.625361194982378
0.07,0.0,0.0,0.0,-0.26294915902400195,1.0484187369341202,0.5626784323722609,-0.5001740428874357,0.8614939473532689,-2.13333981712327,0.23425377483200105,1.2672282351412212,0.07203971037506578,3.527866586156045
0.07200000000000001,0.0,0.0,0.0,-0.260855056771316,1.047051126342985,0.5616729911453149,-0.5027206134730067,0.8572616290630644,-2.11615914510227,0.2367915942462833,1.268909707141122,0.07904418295014609,3.502236287540157
0.074,0.0,0.0,0.0,-0.2587703421687483,1.0423573012838527,0.560649027108727,-0.5119820182939439,0.8531560134809733,-2.052807791045552,0.23934116428637786,1.2747850200472837,0.08585919026364051,3.4075036567472115
0.076,0.0,0.0,0.0,-0.25668874057296687,1.0408007978907063,0.5596180611433001,-0.5154829827134222,0.8490994804789805,-2.0282665009963563,0.2418947772104518,1.2768064620369695,0.09260047141953091,3.3706405779451996
0.078,0.0,0.0,0.0,-0.25461284615629376,1.0379472083365537,0.5585742583083354,-0.5219014174823733,0.8451329322071687,-1.9832741359059325,0.24445580208848774,1.2805124390179723,0.09920658795314675,3.3030582668079207
0.08,0.0,0.0,0.0,-0.2525411519901531,1.0358470830703348,0.5575193851908187,-0.5274365587583651,0.8412457105444625,-1.943610831353082,0.24702251597987673,1.2833569456944942,0.10569303577243047,3.2432239096418582
0.082,0.0,0.0,0.0,-0.2504723979993851,1.034376995384001,0.5564567628755155,-0.5313111576515928,0.8374140175081303,-1.91584651816612,0.2495932121806129,1.2853481003680804,0.11209571549168183,3.2013398596256804
0.084,0.0,0.0,0.0,-0.2484082469715419,1.0320755139215931,0.5553793841024227,-0.5386893865463871,0.8336901503280186,-1.8619335900558198,0.2521704630465144,1.28862543295076,0.11833506555285461,3.11967503058639
0.08600000000000001,0.0,0.0,0.0,-0.24634532684095684,1.0314600652925332,0.5542978360454786,-0.5407740284720797,0.8299968751719249,-1.8466375780468725,0.25474948977469375,1.2895133640896672,0.12452803201211426,3.096483229629826
0.088,0.0,0.0,0.0,-0.24410181225684277,1.1217572920570322,0.5526611831499799,-0.818326447749318,0.8262442575701777,-1.8763088008735829,0.257334457161608,1.292483693457136,0.1305388482398899,3.005408113887817
0.09,0.0,0.0,0.0,-0.2417465970104469,1.1776076231979349,0.5501197473095272,-1.2707179202263719,0.8227856128822709,-1.729322343953399,0.2599208138637529,1.293178351072427,0.1364940687715344,2.9776102658222445
0.092,0.0,0.0,0.0,-0.23928986874000688,1.2283641352200114,0.5467908072005384,-1.6644700544943825,0.8195881733766144,-1.5987197528282704,0.2625105049224508,1.2948455293489702,0.1423158596324636,2.910895430464605
0.094,0.0,0.0,0.0,-0.2367418150837603,1.2740268281232896,0.5427916414994322,-1.9995828505531277,0.8166191713216181,-1.4845010274981418,0.2651018844544901,1.2956897660196531,0.14803982814053104,2.8619842540337226
0.096,0.0,0.0,0.0,-0.2341126236799447,1.3145957019077974,0.5382395288826269,-2.2760563084026075,0.8138458389856924,-1.3866661679628467,0.26769476485172194,1.2964401986159113,0.15367684344605478,2.81850765276187
0.098,0.0,0.0,0.0,-0.23141248216679777,1.3500707565734653,0.533251748026541,-2.4938904280429885,0.8112354086372471,-1.3052151742226625,0.27028894870772247,1.2970919280002602,0.1591756287025496,2.749392628247402
0.1,0.0,0.0,0.0,-0.22865157818255702,1.3804519921203766,0.5279455776075925,-2.6530852094742152,0.8087551125446922,-1.2401480462774228,0.27288353362795953,1.297292460118532,0.1646318816362663,2.7281264668583547
0.10200000000000001,0.0,0.0,0.0,-0.2229882333537446,2.831672414406211,0.5168471827867824,-5.549197410405049,0.8040538522008941,-2.3506301718990708,0.2435234953746171,-14.680019126671217,0.171288238646875,3.328178505304355
0.10400000000000001,0.0,0.0,0.0,-0.22010616778564812,1.4410327840482378,0.5112895157377573,-2.7788335245125806,0.8017673524864709,-1.1432498572115923,0.24663007748614535,1.5532910557641277,0.17734782239172892,3.029791872426954
0.106,0.0,0.0,0.0,-0.21720409029940824,1.4510387431199423,0.5058825738315434,-2.7034709531069123,0.7994799161015782,-1.1437181924463524,0.2497353983065125,1.5526604101835788,0.18326628898466768,2.959233296469382
0.108,0.0,0.0,0.0,-0.2142921885332626,1.4559508830728207,0.5007436357445592,-2.569469043492145,0.7971587753146264,-1.1605703934758904,0.2528387087561934,1.5516552248404507,0.18904547468975344,2.88959285254288
0.11,0.0,0.0,0.0,-0.21138065012544874,1.4557692039069285,0.4959899801532226,-2.3768277956682793,0.7947711623940252,-1.193806460300595,0.2559392652952854,1.550278269545985,0.1946871914108395,2.8208583605430353
